ID,TITULO,AUTOR,PRECIO,IDEDITORIAL
186,Brooke,Adrianne,218.00,4
189,Bertrand,Aldon,963.00,4
122,Bevon,Anica,149.00,4
34,Janine,Arline,899.00,4
127,Merna,Aryn,460.00,4
157,Kippar,Brandice,543.00,4
20,Judon,Brandy,458.00,4
140,Norma,Bruis,790.00,4
167,Corina,Chryste,627.00,4
90,Stevie,Clarie,395.00,4
192,Adan,Cordula,592.00,4
11,Caitrin,Daniela,72.00,4
171,Grove,Dorri,452.00,4
151,Krysta,Druci,719.00,4
174,Tandi,Easter,198.00,4
162,Fritz,Eleonora,617.00,4
177,Thorstein,Ettie,837.00,4
86,Jeromy,Gale,303.00,4
92,Alice,Gavrielle,538.00,4
98,Emma,Gwendolin,897.00,4
42,Rolland,Joyous,68.00,4
65,Rayshell,Kienan,180.00,4
1,Marina,Kiley,952.00,4
25,Davine,Kingsley,990.00,4
83,Cherry,Kris,336.00,4
40,Kellie,Lannie,255.00,4
53,Aliza,Lombard,205.00,4
169,Dede,Lovell,424.00,4
170,Langston,Marius,430.00,4
91,Alva,Miner,700.00,4
35,Cyndy,Nessy,24.00,4
82,Daffi,Nissa,434.00,4
101,Brittani,Oberon,159.00,4
23,Madlen,Odell,710.00,4
134,Denyse,Pall,358.00,4
195,Johnathon,Sabina,113.00,4
126,Lani,Shaughn,227.00,4
114,Janetta,Tracy,547.00,4
168,Haily,Vicky,692.00,4
