ID,TITULO,AUTOR,PRECIO,IDEDITORIAL
131,Inessa,Abbye,410.11,1
186,Brooke,Adrianne,218.00,4
7,Daniele,Alastair,27.00,6
189,Bertrand,Aldon,963.00,4
120,Basile,Allen,863.00,3
176,Silvain,Amalle,820.00,5
62,Vi,Amii,322.00,5
93,Brocky,Anabel,20.00,5
122,Bevon,Anica,149.00,4
159,Cesya,Antonietta,906.00,3
34,Janine,Arline,899.00,4
102,Skell,Arnold,712.00,5
64,Lissi,Arny,388.00,6
149,Kizzie,Arte,141.00,1
127,Merna,Aryn,460.00,4
16,Wilden,Aubrey,766.00,6
39,Terrie,Bambi,967.00,5
87,Gwenora,Benjamin,267.54,2
150,Haleigh,Berk,282.24,1
59,Karyn,Birdie,628.00,6
111,Lynn,Blondy,939.00,6
141,Benedicta,Bob,250.00,3
113,Aime,Boony,466.94,1
172,Leesa,Bradley,816.00,3
157,Kippar,Brandice,543.00,4
20,Judon,Brandy,458.00,4
22,Danit,Brenn,290.00,5
193,Rhody,Brnaba,257.54,1
84,Pierson,Brook,34.00,6
140,Norma,Bruis,790.00,4
148,Florenza,Bryana,371.79,2
137,Pattin,Burlie,189.00,1
180,Ruddie,Candis,542.38,2
183,Emilee,Carlyn,907.00,6
36,Uta,Carma,386.00,3
144,Farleigh,Carrol,131.00,6
187,Maryellen,Cassandre,639.33,2
97,Gusty,Celia,54.00,6
178,Timoteo,Charlene,516.00,6
181,Way,Christoffer,411.00,5
167,Corina,Chryste,627.00,4
90,Stevie,Clarie,395.00,4
191,Queenie,Clemmie,465.10,2
71,Seamus,Codie,185.00,3
192,Adan,Cordula,592.00,4
44,Eirena,Corny,931.00,5
37,Babb,Cortie,161.00,5
43,Tonnie,Cory,361.00,3
132,Cathyleen,Dacy,484.00,6
76,Terrye,Damon,56.00,3
11,Caitrin,Daniela,72.00,4
13,Mercedes,Darell,64.00,3
69,Isabeau,Deena,268.27,2
70,Hedi,Derick,782.00,5
3,Lorettalorna,Didi,731.00,3
154,Elva,Dionis,535.00,6
61,Dorelle,Dom,318.98,1
77,Massimo,Dorree,58.00,5
171,Grove,Dorri,452.00,4
151,Krysta,Druci,719.00,4
174,Tandi,Easter,198.00,4
162,Fritz,Eleonora,617.00,4
112,Natalie,Elita,272.00,1
96,Gianna,Ellary,715.15,2
41,Gabriele,Elvira,673.00,3
118,Sam,Emelen,684.53,2
177,Thorstein,Ettie,837.00,4
125,Livvyy,Farica,709.00,5
52,Deny,Felix,387.83,2
133,Salomone,Francisco,648.00,5
107,Ignaz,Franni,303.99,2
100,Ravid,Freeland,576.00,6
86,Jeromy,Gale,303.00,4
92,Alice,Gavrielle,538.00,4
119,Jackquelin,Geri,524.00,5
123,Phillida,Germain,31.00,6
156,Boot,Gregoor,770.00,3
21,Magdaia,Gretel,676.00,3
31,Frasco,Griz,465.10,2
98,Emma,Gwendolin,897.00,4
182,Ede,Hank,508.00,6
194,Winona,Hank,293.79,2
32,Harvey,Hansiain,384.00,3
153,Missie,Harri,591.95,2
166,Carlie,Hilary,93.00,2
136,Irv,Igor,688.00,5
198,Otha,Inga,593.00,5
51,Erastus,Iona,193.00,1
49,Chaim,Jan,727.00,5
4,Binky,Jarvis,953.00,3
184,Philomena,Jervis,453.63,1
80,Vaughn,Jess,759.00,3
129,Pip,Jobey,808.00,6
42,Rolland,Joyous,68.00,4
9,Bernhard,Juan,838.00,5
200,Karlie,Judd,194.00,1
81,Dun,Julienne,271.00,1
110,Gilli,Karlee,190.00,6
27,Waverley,Karyn,465.92,1
74,Kale,Katrinka,545.00,3
104,Alleen,Keane,291.84,1
106,Clarita,Kennie,33.00,6
65,Rayshell,Kienan,180.00,4
1,Marina,Kiley,952.00,4
121,Bryanty,Kim,637.00,6
88,Thor,Kim,451.00,6
25,Davine,Kingsley,990.00,4
60,Gaile,Kingston,515.00,6
188,Patrice,Konstantin,274.00,3
55,Stacy,Korrie,346.00,6
83,Cherry,Kris,336.00,4
30,Odelle,Kriste,825.00,5
67,Wash,Kristi,421.00,3
6,Tanny,Ladonna,510.98,1
40,Kellie,Lannie,255.00,4
8,Waylin,Lanny,338.94,1
54,Jarred,Leann,458.54,2
179,Dalenna,Leonie,169.00,6
17,Brandtr,Lev,485.00,3
26,Jacquelynn,Lil,808.00,5
160,Rupert,Linoel,103.00,5
14,Davida,Lizabeth,253.00,1
53,Aliza,Lombard,205.00,4
147,Beauregard,Lorena,470.00,5
68,Vittorio,Lovell,437.76,1
169,Dede,Lovell,424.00,4
57,Tuesday,Lyman,945.00,5
28,Dudley,Madison,652.00,6
